Spine,Title,Netflix Streaming,URL,Director,Country,Year,Parent
237,Smiles of a Summer Night,true,http://www.netflix.com/Movie/Smiles_of_a_Summer_Night/60037955,Ingmar Bergman,Sweden,1955,
238,A Woman Is a Woman,true,http://www.netflix.com/Movie/A_Woman_Is_a_Woman/70000934,Jean-Luc Godard,France,1961,
239,The Lower Depths,true,http://www.netflix.com/Movie/The_Lower_Depths/60029949,Jean Renoir,France,1936,
239,The Lower Depths,false,http://www.netflix.com/Movie/The_Lower_Depths/70003867,Akira Kurosawa,Japan,1957,
240,Early Summer,false,http://www.netflix.com/Movie/Early_Summer/70001739,Yasujiro Ozu,Japan,1951,
241,Stage and Spectacle: Three Films by Jean Renoir,,,,,,
,,,,Jean Renoir,France,,
242,The Golden Coach,false,http://www.netflix.com/Movie/Jean_Renoir_The_Golden_Coach/70001707,Jean Renoir,France,1953,241
243,French Cancan,false,http://www.netflix.com/Movie/Jean_Renoir_French_Cancan/70001709,Jean Renoir,France,1955,241
244,Elena And Her Men,false,http://www.netflix.com/Movie/Jean_Renoir_Elena_and_Her_Men/70001710,Jean Renoir,France,1956,241
245,Port of Shadows,false,http://www.netflix.com/Movie/Port_of_Shadows/70001701,Marcel Carné,France,1938,
246,I vitelloni,true,http://www.netflix.com/Movie/I_Vitelloni/60011525,Federico Fellini,Italy,1953,
247,Slacker,true,http://www.netflix.com/Movie/Slacker/60034959,Richard Linklater,United States,1991,
248,Videodrome,false,http://www.netflix.com/Movie/Videodrome/1093793,David Cronenberg,Canada,1983,
249,The Battle of Algiers ,true,http://www.netflix.com/Movie/The_Battle_of_Algiers/60011023,Gillo Pontecorvo,Algeria,1966,
250,John Cassavetes: Five Films,,,,,,
,,,,,United States,,
251,Shadows,false,http://www.netflix.com/Movie/Shadows/953547,John Cassavetes,United States,1959,250
252,Faces,false,http://www.netflix.com/Movie/Faces/488640,John Cassavetes,United States,1968,250
253,A Woman Under the Influence,false,http://www.netflix.com/Movie/A_Woman_Under_the_Influence/1132292,John Cassavetes,United States,1974,250
254,The Killing of a Chinese Bookie,false,http://www.netflix.com/Movie/The_Killing_of_a_Chinese_Bookie/671257,John Cassavetes,United States,1976,250
255,Opening Night,false,http://www.netflix.com/Movie/Opening_Night/828975,John Cassavetes,United States,1976,250
256,A Constant Forge,false,http://www.netflix.com/Movie/A_Constant_Forge_The_Life_and_Art_of_John_Cassavetes/70103820,Charles Kiselyak,United States,2000,250
257,Secret Honor,false,http://www.netflix.com/Movie/Secret_Honor/70014527,Robert Altman,United States,1984,
258,Tanner ’88,false,http://www.netflix.com/Movie/Tanner_88/70014673,Robert Altman,United States,1988,
259,Fat Girl,false,,Catherine Breillat,France,2001,
260,Eyes Without a Face,true,http://www.netflix.com/Movie/Eyes_Without_a_Face/70014452,Georges Franju,France,1960,
261,Fanny and Alexander Box Set,,,,,,
,,,,Ingmar Bergman,Sweden,1982,
262,Fanny and Alexander — The Television Version,false,http://www.netflix.com/Movie/Fanny_and_Alexander_TV_Version/70018144,Ingmar Bergman,Sweden,1982,253
263,Fanny and Alexander — The Theatrical Version,true,http://www.netflix.com/Movie/Fanny_and_Alexander/60010336,Ingmar Bergman,Sweden,1982,253
264,The Making of Fanny and Alexander,false,http://www.netflix.com/Movie/The_Making_of_Fanny_and_Alexander/70018146,Ingmar Bergman,Sweden,1982,253
265,Short Cuts,false,http://www.netflix.com/Movie/Short_Cuts/60002791,Robert Altman,United States,1993,
266,The King of Kings: Roadshow Verion,false,http://www.netflix.com/Movie/The_King_of_Kings_Roadshow_Version/70018676,Cecil B. DeMille,United States,1927,
266,The King of Kings: General Release Version,false,http://www.netflix.com/Movie/The_King_of_Kings_General_Release_Version/70018678,Cecil B. DeMille,United States,1927,
267,Kagemusha,false,http://www.netflix.com/Movie/Kagemusha/70005243,Akira Kurosawa,Japan,1980,
268,Youth of the Beast,false,http://www.netflix.com/Movie/Youth_of_the_Beast/70019196,Seijun Suzuki,Japan,1963,
269,Fighting Elegy,false,http://www.netflix.com/Movie/Fighting_Elegy/70019195,Seijun Suzuki,Japan,1966,
270,Casque d’or,false,http://www.netflix.com/Movie/Casque_d_Or/70019228,Jacques Becker,France,1952,
271,Touchez pas au grisbi,false,http://www.netflix.com/Movie/Touchez_Pas_au_Grisbi/70019232,Jacques Becker,France,1954,
272,La commare secca,false,http://www.netflix.com/Movie/La_Commare_Secca/70020786,Bernardo Bertolucci,Italy,1962,
273,Thieves’ Highway,true,http://www.netflix.com/Movie/Thieves_Highway/70020794,Jules Dassin,United States,1949,
274,Night and the City,true,http://www.netflix.com/Movie/Night_and_the_City/70020788,Jules Dassin,United States,1950,
275,Tout va bien,true,http://www.netflix.com/Movie/Tout_Va_Bien/70020859,Jean-Luc Godard…,France,1972,
276,The River,false,http://www.netflix.com/Movie/The_River/70021195,Jean Renoir,France,1951,
277,My Own Private Idaho,false,http://www.netflix.com/Movie/My_Own_Private_Idaho/60035031,Gus Van Sant,United States,1991,
278,L'eclisse,false,http://www.netflix.com/Movie/L_Eclisse/70021609,Michelangelo Antonioni,Italy,1962,
279,Young Törless,false,http://www.netflix.com/Movie/Young_Torless/70021218,Volker Schlöndorff,Germany,1966,
280,The Sword of Doom,false,http://www.netflix.com/Movie/The_Sword_of_Doom/70009166,Kihachi Okamoto,Japan,1966,
281,Jules and Jim,true,http://www.netflix.com/Movie/Jules_and_Jim/660602,François Truffaut,France,1962,
282,Andrzej Wajda: Three War Films,,,,,,
,,,,Andrzej Wajda,Poland,,
283,A Generation,false,http://www.netflix.com/Movie/A_Generation/70108620,Andrzej Wajda,Poland,1955,282
284,Kanal,false,http://www.netflix.com/Movie/Kanal/60032452,Andrzej Wajda,Poland,1957,282
285,Ashes and Diamonds,false,http://www.netflix.com/Movie/Ashes_and_Diamonds/60032451,Andrzej Wajda,Poland,1958,282
286,"Divorce, Italian Style",false,http://www.netflix.com/Movie/Divorce_Italian_Style/70000787,Pietro Germi,Italy,1961,
287,Burden of Dreams,true,http://www.netflix.com/Movie/Burden_of_Dreams/60000802,Les Blank,United States,1982,
288,F for Fake,true,http://www.netflix.com/Movie/F_for_Fake/70029549,Orson Welles,United States,1975,
289,Hoop Dreams,true,http://www.netflix.com/Movie/Hoop_Dreams/60002760,Steve James,United States,1994,
290,The Phantom of Liberty,false,http://www.netflix.com/Movie/The_Phantom_of_Liberty/70032556,Luis Buñuel,France,1974,
291,Heaven Can Wait,false,http://www.netflix.com/Movie/Heaven_Can_Wait/60011709,Ernst Lubitsch,United States,1943,
292,Unfaithfully Yours,true,http://www.netflix.com/Movie/Unfaithfully_Yours/70010200,Preston Sturges,United States,1948,
293,The Flowers of St. Francis,false,http://www.netflix.com/Movie/The_Flowers_of_St._Francis/70036294,Roberto Rossellini,Italy,1950,
294,The Browning Version,false,http://www.netflix.com/Movie/The_Browning_Version/70034567,Anthony Asquith,United Kingdom,1951,
295,Crazed Fruit,false,http://www.netflix.com/Movie/Crazed_Fruit/70034581,Kô Nakahira,Japan,1956,
296,Le notti bianche,false,http://www.netflix.com/Movie/Le_Notti_Bianche/70036288,Luchino Visconti,Italy,1957,
297,Au hasard Balthazar,false,http://www.netflix.com/Movie/Au_Hasard_Balthazar/70034247,Robert Bresson,France,1966,
298,Gate of Flesh,false,http://www.netflix.com/Movie/Gate_of_Flesh/70013439,Seijun Suzuki,Japan,1964,
299,Story of a Prostitute,false,http://www.netflix.com/Movie/Story_of_a_Prostitute/70036292,Seijun Suzuki,Japan,1965,
300,The Life Aquatic with Steve Zissou,false,http://www.netflix.com/Movie/The_Life_Aquatic_with_Steve_Zissou/70011212,Wes Anderson,United States,2004,
301,An Angel at My Table,false,http://www.netflix.com/Movie/An_Angel_at_My_Table/60034964,Jane Campion,New Zealand,1990,
302,Harakiri,false,http://www.netflix.com/Movie/Harakiri/70036293,Masaki Kobayashi,Japan,1962,
303,Bad Timing,false,http://www.netflix.com/Movie/Bad_Timing/70004507,Nicolas Roeg,United States,1980,
304,The Man Who Fell to Earth,false,http://www.netflix.com/Movie/The_Man_Who_Fell_to_Earth/736007,Nicolas Roeg,United States,1976,
305,Boudu Saved from Drowning,true,http://www.netflix.com/Movie/Boudu_Saved_from_Drowning/70004961,Jean Renoir,France,1932,
306,Le Samouraï,false,http://www.netflix.com/Movie/Le_Samourai/70039923,Jean-Pierre Melville,France,1967,
307,Naked,false,http://www.netflix.com/Movie/Naked/60034974,Mike Leigh,United Kingdom,1993,
308,Masculin féminin,false,http://www.netflix.com/Movie/Masculin_Feminin/70039890,Jean-Luc Godard,France,1966,
309,Ugetsu,true,http://www.netflix.com/Movie/Ugetsu/60011507,Kenji Mizoguchi,Japan,1953,
310,Samurai Rebellion,true,http://www.netflix.com/Movie/Samurai_Rebellion/70009662,Masaki Kobayashi,Japan,1967,
311,Sword of the Beast,false,http://www.netflix.com/Movie/Sword_of_the_Beast/70039884,Hideo Gosha,Japan,1965,
312,Samurai Spy,false,http://www.netflix.com/Movie/Samurai_Spy/70039886,Masahiro Shinoda,Japan,1965,
313,Kill!,false,http://www.netflix.com/Movie/Kill/70039887,Kihachi Okamoto,Japan,1968,
314,Pickpocket,true,http://www.netflix.com/Movie/Pickpocket/70041508,Robert Bresson,France,1959,
315,Shoot the Piano Player,true,http://www.netflix.com/Movie/Shoot_the_Piano_Player/19599445,François Truffaut,France,1960,
316,Ran,false,http://www.netflix.com/Movie/Ran/60027429,Akira Kurosawa,Japan,1985,
317,The Tales of Hoffmann,false,http://www.netflix.com/Movie/The_Tales_of_Hoffmann/60010968,Michael Powell…,United Kingdom,1951,
318,Forbidden Games,false,http://www.netflix.com/Movie/Forbidden_Games/60010364,René Clément,France,1952,
319,The Bad Sleep Well,false,http://www.netflix.com/Movie/The_Bad_Sleep_Well/70044128,Akira Kurosawa,Japan,1960,
320,Young Mr. Lincoln,false,http://www.netflix.com/Movie/Young_Mr._Lincoln/60011608,John Ford,United States,1939,
321,The Virgin Spring,true,http://www.netflix.com/Movie/The_Virgin_Spring/60011418,Ingmar Bergman,Sweden,1960,
322,The Complete Mr. Arkadin: The Comprehensive Version,false,http://www.netflix.com/Movie/Mr._Arkadin_The_Comprehensive_Version/70046967,Orson Welles,United States,1955,
322,The Complete Mr. Arkadin: The Confidential Report Version,true,http://www.netflix.com/Movie/Mr._Arkadin_The_Confidential_Report_Version/70046966,Orson Welles,United States,1956,
322,The Complete Mr. Arkadin: The Corinth Version,false,http://www.netflix.com/Movie/Mr._Arkadin_The_Corinth_Version/70046965,Orson Welles,United States,1957,
323,The Children Are Watching Us,false,http://www.netflix.com/Movie/The_Children_Are_Watching_Us/70044124,Vittorio De Sica,Italy,1944,
324,La Bête humaine,true,http://www.netflix.com/Movie/La_Bete_Humaine/70012503,Jean Renoir,France,1938,
325,Kind Hearts and Coronets,false,http://www.netflix.com/Movie/Kind_Hearts_and_Coronets/60029972,Robert Hamer,United Kingdom,1949,
326,Metropolitan,true,http://www.netflix.com/Movie/Metropolitan/60010649,Whit Stillman,United States,1990,
327,3 Films by Louis Malle,,,,,,
,,,,Louis Malle,France,,
328,Murmur of the Heart,true,http://www.netflix.com/Movie/Murmur_of_the_Heart/60010684,Louis Malle,France,1972,327
329,"Lacombe, Lucien",false,http://www.netflix.com/Movie/Lacombe_Lucien/60010566,Louis Malle,France,1974,327
330,Au revoir les enfants,true,http://www.netflix.com/Movie/Au_Revoir_Les_Enfants/60035017,Louis Malle,France,1987,327
331,Late Spring,true,http://www.netflix.com/Movie/Late_Spring/70048121,Yasujiro Ozu,Japan,1949,
332,Viridiana,false,http://www.netflix.com/Movie/Viridiana/70043737,Luis Buñuel,Spain,1961,
333,Fists in the Pocket,false,http://www.netflix.com/Movie/Fists_in_the_Pocket/70045351,Marco Bellocchio,Italy,1965,
334,Harlan County USA,true,http://www.netflix.com/Movie/Harlan_County_U.S.A./60027989,Barbara Kopple,United States,1976,
335,Elevator to the Gallows,true,http://www.netflix.com/Movie/Elevator_to_the_Gallows/70047266,Louis Malle,France,1957,
336,Dazed and Confused,false,http://www.netflix.com/Movie/Dazed_and_Confused/70003553,Richard Linklater,United States,1993,
337,À nos amours,true,http://www.netflix.com/Movie/A_Nos_Amours/70049178,Maurice Pialat,France,1983,
338,Equinox,false,http://www.netflix.com/Movie/Equinox/60034979,Jack Woods,United States,1970,
339,Yi Yi,false,http://www.netflix.com/Movie/Yi_Yi/60003452,Edward Yang,Taiwan,2000,
340,Koko: A Talking Gorilla,false,http://www.netflix.com/Movie/Koko_A_Talking_Gorilla/70050454,Barbet Schroeder,France,1978,
341,A Canterbury Tale,false,http://www.netflix.com/Movie/A_Canterbury_Tale/70051160,Michael Powell…,United Kingdom,1944,
342,Six Moral Tales,,,,,,
,,,,Eric Rohmer,France,1963,
343,The Bakery Girl of Monceau,false,http://www.netflix.com/Movie/The_Bakery_Girl_of_Monceau/70052653,Eric Rohmer,France,1963,342
344,Suzanne's Career,false,http://www.netflix.com/Movie/Suzanne_s_Career/70052654,Eric Rohmer,France,1963,342
345,My Night at Maud's,false,http://www.netflix.com/Movie/My_Night_at_Maud_s/70052655,Eric Rohmer,France,1969,342
346,La Collectionneuse,false,http://www.netflix.com/Movie/La_Collectionneuse/70052656,Eric Rohmer,France,1967,342
347,Claire's Knee,false,http://www.netflix.com/Movie/Claire_s_Knee/70052657,Eric Rohmer,France,1970,342
348,Love in the Afternoon,false,http://www.netflix.com/Movie/Love_in_the_Afternoon/70052658,Eric Rohmer,France,1972,342
349,Kicking and Screaming,true,http://www.netflix.com/Movie/Kicking_and_Screaming/70052286,Noah Baumbach,United States,1995,
350,Seduced and Abandoned,false,http://www.netflix.com/Movie/Seduced_and_Abandoned/70052287,Pietro Germi,Italy,1964,
351,The Spirit of the Beehive,true,http://www.netflix.com/Movie/The_Spirit_of_the_Beehive/70053552,Víctor Erice,Spain,1973,
352,Jigoku,false,http://www.netflix.com/Movie/Jigoku/70053550,Nobuo Nakagawa,Japan,1960,
353,Sólo con tu pareja,true,http://www.netflix.com/Movie/Solo_Con_Tu_Pareja/70055221,Alfonso Cuarón,Mexico,1991,
354,"Clean, Shaven",false,http://www.netflix.com/Movie/Clean_Shaven/22684197,Lodge Kerrigan,United States,1994,
355,Hands Over the City,false,http://www.netflix.com/Movie/Hands_Over_the_City/70055434,Francesco Rosi,Italy,1963,
356,Sweetie,false,http://www.netflix.com/Movie/Sweetie/60035027,Jane Campion,New Zealand,1989,
357,The Fallen Idol,false,http://www.netflix.com/Movie/The_Fallen_Idol/60011122,Carol Reed,United Kingdom,1948,
358,Pandora’s Box,true,http://www.netflix.com/Movie/Pandora_s_Box/60000670,Georg Wilhelm Pabst,Germany,1929,
359,The Double Life of Véronique,false,http://www.netflix.com/Movie/The_Double_Life_of_Veronique/70056907,Krzysztof Kieslowski,France,1991,
360,Symbiopsychotaxiplasm,false,http://www.netflix.com/Movie/Symbiopsychotaxiplasm_Take_One/70057638,William Greaves,United States,1968,
361,The Beales of Grey Gardens,false,http://www.netflix.com/Movie/The_Beales_of_Grey_Gardens/70057632,Albert Maysles…,United States,2006,
362,Border Radio,false,http://www.netflix.com/Movie/Border_Radio/70059426,Allison Anders…,United States,1987,
363,Mouchette,false,http://www.netflix.com/Movie/Mouchette/70034660,Robert Bresson,France,1967,
364,Monsters and Madmen,,,,,,
,,,,,United States,,
365,The Atomic Submarine,false,http://www.netflix.com/Movie/Atomic_Submarine/266766,Spencer G. Bennet,United States,1959,364
366,First Man Into Space,false,http://www.netflix.com/Movie/First_Man_Into_Space/505878,Robert Day,United States,1959,364
367,The Haunted Strangler,false,http://www.netflix.com/Movie/The_Haunted_Strangler/575586,Robert Day,United States,1958,364
368,Corridors of Blood,false,http://www.netflix.com/Movie/Corridors_of_Blood/398771,Robert Day,United States,1959,364
369,Paul Robeson: Portraits of the Artist,true,http://www.netflix.com/Search,,United States,,
374,Bicycle Thieves,false,,Vittorio De Sica,Italy,1948,
375,Green for Danger,true,http://www.netflix.com/Movie/Green_for_Danger/70061040,Sidney Gilliat,United Kingdom,1946,
376,49th Parallel,true,http://www.netflix.com/Movie/49th_Parallel/70061255,Michael Powell,United Kingdom,1941,
377,When a Woman Ascends the Stairs,false,http://www.netflix.com/Movie/When_a_Woman_Ascends_the_Stairs/70063286,Mikio Naruse,Japan,1960,
378,Fires on the Plain,false,http://www.netflix.com/Movie/Fires_on_the_Plain/70061479,Kon Ichikawa,Japan,1959,
379,The Burmese Harp,false,http://www.netflix.com/Movie/The_Burmese_Harp/70061493,Kon Ichikawa,Japan,1956,
380,The Naked City,false,http://www.netflix.com/Movie/The_Naked_City/60011267,Jules Dassin,United States,1948,
381,La Haine,false,http://www.netflix.com/Movie/La_Haine/70007071,Mathieu Kassovitz,France,1995,
382,Overlord,true,http://www.netflix.com/Movie/Overlord/70008899,Stuart Cooper,United Kingdom,1975,
383,Brute Force,false,http://www.netflix.com/Movie/Brute_Force/336044,Jules Dassin,United States,1947,
384,Vengeance Is Mine,false,http://www.netflix.com/Movie/Vengeance_Is_Mine/70067850,Shohei Imamura,Japan,1979,
385,Army of Shadows,false,http://www.netflix.com/Movie/Army_of_Shadows/70067848,Jean-Pierre Melville,France,1969,
386,Sansho the Bailiff,false,http://www.netflix.com/Movie/Sansho_the_Bailiff/70067923,Kenji Mizoguchi,Japan,1954,
387,La Jetée,true,http://www.netflix.com/Movie/La_jetee/70128396,Chris Marker,France,1961,
387,La Jetée / Sans Soleil,false,http://www.netflix.com/Movie/La_Jetee_Sans_Soleil/70007072,Chris Marker,France,1963,
388,The Two of Us,false,http://www.netflix.com/Movie/The_Two_of_Us/70068715,Claude Berri,France,1967,
389,WR: Mysteries of the Organism,false,,Dušan Makavejev,Yugoslavia,1971,
390,Sweet Movie,false,http://www.netflix.com/Movie/Sweet_Movie/70070127,Dušan Makavejev,France,1974,
391,If....,false,http://www.netflix.com/Movie/If.../70042303,Lindsay Anderson,United Kingdom,1968,
392,Three Films by Hiroshi Teshigahara,,,,,,
,,,,Hiroshi Teshigahara,Japan,,
393,Pitfall,false,http://www.netflix.com/Movie/Pitfall/70070306,Hiroshi Teshigahara,Japan,1962,392
394,Woman in the Dunes,false,http://www.netflix.com/Movie/Woman_in_the_Dunes/70003088,Hiroshi Teshigahara,Japan,1964,392
395,The Face of Another,false,http://www.netflix.com/Movie/The_Face_of_Another/70070304,Hiroshi Teshigahara,Japan,1966,392
396,Ace in the Hole,false,http://www.netflix.com/Movie/Ace_in_the_Hole/70071907,Billy Wilder,United States,1951,
397,Ivan’s Childhood,false,http://www.netflix.com/Movie/Ivan_s_Childhood/70008542,Andrei Tarkovsky,Soviet Union,1962,
398,Les enfants terribles,false,http://www.netflix.com/Movie/Les_Enfants_Terribles/70013689,Jean-Pierre Melville,France,1950,
399,House of Games,false,http://www.netflix.com/Movie/House_of_Games/60003222,David Mamet,United States,1987,
400,Stranger Than Paradise,false,http://www.netflix.com/Movie/Stranger_than_Paradise/70075715,Jim Jarmusch,United States,1984,
401,Night on Earth,false,http://www.netflix.com/Movie/Night_on_Earth/70074420,Jim Jarmusch,United States,1991,
402,The Milky Way,false,http://www.netflix.com/Movie/The_Milky_Way/70074905,Luis Buñuel,France,1969,
403,Cría cuervos . . . ,true,http://www.netflix.com/Movie/Cria_Cuervos/70060407,Carlos Saura,Spain,1976,
404,Robinson Crusoe on Mars,false,http://www.netflix.com/Movie/Robinson_Crusoe_on_Mars/70075919,Byron Haskin,United States,1964,
405,The 3 Penny Opera,false,http://www.netflix.com/Movie/The_3_Penny_Opera/70076712,Georg Wilhelm Pabst,Germany,1931,
406,Martha Graham: Dance on Film,false,http://www.netflix.com/Movie/Martha_Graham_An_American_Original_in_Performance/70022667,Nathan Kroll,United States,1959,
407,Mala Noche,true,http://www.netflix.com/Movie/Mala_Noche/70077960,Gus Van Sant,United States,1985,
408,Breathless,true,http://www.netflix.com/Movie/Breathless/60021383,Jean-Luc Godard,France,1960,
409,Days of Heaven,false,http://www.netflix.com/Movie/Days_of_Heaven/425166,Terrence Malick,United States,1978,
410,Under the Volcano,false,http://www.netflix.com/Movie/Under_the_Volcano/60011512,John Huston,United States,1984,
411,Berlin Alexanderplatz,false,http://www.netflix.com/Movie/Berlin_Alexanderplatz/70034662,Rainer Werner Fassbinder,Germany,1980,
412,Sawdust and Tinsel,false,http://www.netflix.com/Movie/Sawdust_and_Tinsel/70081675,Ingmar Bergman,Sweden,1953,
413,Drunken Angel,false,http://www.netflix.com/Movie/Drunken_Angel/70021008,Akira Kurosawa,Japan,1948,
414,Two-Lane Blacktop,false,http://www.netflix.com/Movie/Two-Lane_Blacktop/1074742,Monte Hellman,United States,1971,
415,The Naked Prey,false,http://www.netflix.com/Movie/The_Naked_Prey/60011268,Cornel Wilde,United States,1966,
416,Miss Julie,false,http://www.netflix.com/Movie/Miss_Julie/70042284,Alf Sjöberg,Sweden,1951,
417,This Sporting Life,true,http://www.netflix.com/Movie/This_Sporting_Life/1040789,Lindsay Anderson,United Kingdom,1963,
418,4 by Agnès Varda,,,,,,
,,,,Agnès Varda,France,,
419,La Pointe Courte,false,http://www.netflix.com/Movie/La_Pointe_Courte/70089475,Agnès Varda,France,1956,418
419,Cleo From 5 to 7,true,http://www.netflix.com/Movie/Cleo_from_5_to_7/28630923,Agnès Varda,France,1962,418
420,Le Bonheur,false,http://www.netflix.com/Movie/Le_Bonheur/70089476,Agnès Varda,France,1965,418
420,Vagabond,false,http://www.netflix.com/Movie/Vagabond/1084996,Agnès Varda,France,1985,418
421,Pierrot le fou,true,http://www.netflix.com/Movie/Pierrot_Le_Fou/60031771,Jean-Luc Godard,France,1965,
422,The Last Emperor,true,http://www.netflix.com/Movie/The_Last_Emperor/70089029,Bernardo Bertolucci,China,1987,
423,Walker,false,http://www.netflix.com/Movie/Walker/70086141,Alex Cox,United States,1987,
424,Mafioso,false,http://www.netflix.com/Movie/Mafioso/70060443,Alberto Lattuada,Italy,1962,
425,Antonio Gaudí,false,http://www.netflix.com/Movie/Antonio_Gaudi/70095684,Hiroshi Teshigahara,Japan,1984,
426,The Ice Storm,false,http://www.netflix.com/Movie/The_Ice_Storm/60004281,Ang Lee,United States,1997,
427,Death of a Cyclist,false,http://www.netflix.com/Movie/Death_of_a_Cyclist/70091539,Juan Antonio Bardem,Spain,1955,
428,Blast of Silence,false,http://www.netflix.com/Movie/Blast_of_Silence/70091559,Allen Baron,United States,1961,
429,The Lovers,false,http://www.netflix.com/Movie/The_Lovers/70095253,Louis Malle,France,1958,
430,The Fire Within,false,http://www.netflix.com/Movie/The_Fire_Within/70095252,Louis Malle,France,1963,
431,The Thief of Bagdad,true,http://www.netflix.com/Movie/The_Thief_of_Bagdad/70097993,Ludwig Berger…,United Kingdom,1940,
432,Mishima: A Life in Four Chapters,true,http://www.netflix.com/Movie/Mishima_A_Life_in_Four_Chapters/60020630,Paul Schrader,United States,1985,
433,Patriotism,false,http://www.netflix.com/Movie/Patriotism/70102521,Yukio Mishima…,Japan,1966,
434,Classe tous risques,false,http://www.netflix.com/Movie/Classe_Tous_Risques/70098926,Claude Sautet,France,1960,
435,The Furies,false,http://www.netflix.com/Movie/The_Furies/60011141,Anthony Mann,United States,1950,
436,Before the Rain,false,http://www.netflix.com/Movie/Before_the_Rain/60010129,Milcho Manchevski,Macedonia,1994,
437,Vampyr,true,http://www.netflix.com/Movie/Vampyr/70109484,Carl Th. Dreyer,Denmark,1932,
438,Mon oncle Antoine,false,http://www.netflix.com/Movie/Mon_Oncle_Antoine/60020197,Claude Jutra,Canada,1971,
439,Trafic,false,http://www.netflix.com/Movie/Trafic/70100295,Jacques Tati,France,1971,
440,Brand upon the Brain!,false,http://www.netflix.com/Movie/Brand_Upon_the_Brain/70075032,Guy Maddin,United States,2006,
441,The Small Back Room,false,http://www.netflix.com/Movie/The_Small_Back_Room/70004226,Michael Powell…,United Kingdom,1949,
442,Twenty-four Eyes,false,http://www.netflix.com/Movie/Twenty-Four_Eyes/70105681,Keisuke Kinoshita,Japan,1954,
443,La ronde,false,http://www.netflix.com/Movie/La_Ronde/60010562,Max Ophuls,France,1950,
444,Le plaisir,false,http://www.netflix.com/Movie/Le_Plaisir/60010584,Max Ophuls,France,1952,
445,The Earrings of Madame de . . . ,true,http://www.netflix.com/Movie/The_Earrings_of_Madame_de.../60011106,Max Ophuls,France,1953,
446,An Autumn Afternoon,false,http://www.netflix.com/Movie/An_Autumn_Afternoon/70104401,Yasujiro Ozu,Japan,1962,
447,Le doulos,false,http://www.netflix.com/Movie/Le_Doulos/70104943,Jean-Pierre Melville,France,1962,
448,Le deuxième souffle,false,http://www.netflix.com/Movie/Le_Deuxieme_Souffle/70104944,Jean-Pierre Melville,France,1966,
449,Missing,true,http://www.netflix.com/Movie/Missing/60010657,Costa-Gavras,United States,1982,
450,Bottle Rocket,false,http://www.netflix.com/Movie/Bottle_Rocket/326401,Wes Anderson,United States,1996,
451,Fanfan la Tulipe,false,http://www.netflix.com/Movie/Fanfan_la_Tulipe/70108301,Christian-Jaque,France,1952,
452,The Spy Who Came in from the Cold,false,http://www.netflix.com/Movie/The_Spy_Who_Came_In_from_the_Cold/70000619,Martin Ritt,United States,1965,
453,Chungking Express,false,http://www.netflix.com/Movie/Chungking_Express/60000632,Wong Kar-wai,Hong Kong,1994,
454,Europa,true,http://www.netflix.com/Movie/Europa/70108738,Lars von Trier,Denmark,1991,
455,White Dog,false,http://www.netflix.com/Movie/White_Dog/70108727,Samuel Fuller,United States,1982,
456,The Taking of Power by Louis XIV,false,http://www.netflix.com/Movie/The_Taking_of_Power_by_Louis_XIV/70111720,Roberto Rossellini,Italy,1966,
457,Magnificent Obsession,false,http://www.netflix.com/Movie/Magnificent_Obsession/70111737,Douglas Sirk,United States,1954,
458,El Norte,false,http://www.netflix.com/Movie/El_Norte/70111735,Gregory Nava,United States,1983,
459,The Exterminating Angel,false,http://www.netflix.com/Movie/The_Exterminating_Angel/70111745,Luis Buñuel,Mexico,1962,
460,Simon of the Desert,false,http://www.netflix.com/Movie/Simon_of_the_Desert/70111601,Luis Buñuel,Mexico,1965,
461,Hobson's Choice,false,http://www.netflix.com/Movie/Hobson_s_Choice/70042305,David Lean,United Kingdom,1954,
462,The Last Metro,false,http://www.netflix.com/Movie/The_Last_Metro/70117083,François Truffaut,France,1980,
463,Il Generale Della Rovere,false,http://www.netflix.com/Movie/Il_Generale_Della_Rovere/70115176,Roberto Rossellini,Italy,1959,
464,Danton,false,http://www.netflix.com/Movie/Danton/70042325,Andrzej Wajda,France,1983,
465,Dodes’ka-den,false,http://www.netflix.com/Movie/Dodes_ka-Den/70114784,Akira Kurosawa,Japan,1970,
466,In the Realm of the Senses,false,http://www.netflix.com/Movie/In_the_Realm_of_the_Senses/70116706,Nagisa Oshima,Japan,1976,
467,Empire of Passion,false,http://www.netflix.com/Movie/Empire_of_Passion/70116593,Nagisa Oshima,Japan,1978,
468,Science Is Fiction: 23 Films by Jean Painlevé,false,http://www.netflix.com/Movie/Science_Is_Fiction_23_Films_by_Jean_Painleve/70115333,Jean Painlevé,France,,
469,The Hit,false,http://www.netflix.com/Movie/The_Hit/70116594,Stephen Frears,United Kingdom,1984,
470,Wise Blood,,http://www.netflix.com/Movie/Wise_Blood/70117805,John Huston,United States,1979,
471,"Pigs, Pimps & Prostitutes: 3 Films by Shohei Imamura",,,,,,
,,,,Shohei Imamura,Japan,,
472,Pigs and Battleships,false,http://www.netflix.com/Movie/Pigs_and_Battleships/70117957,Shohei Imamura,Japan,1962,471
473,The Insect Woman,false,http://www.netflix.com/Movie/The_Insect_Woman/70117958,Shohei Imamura,Japan,1963,471
474,Intentions of Murder,false,http://www.netflix.com/Movie/Intentions_of_Murder/70117959,Shohei Imamura,Japan,1964,471
