Spine,Title,Netflix Streaming,URL,Director,Country,Year,Parent
55,The Unbearable Lightness of Being,false,http://www.netflix.com/Movie/The_Unbearable_Lightness_of_Being_Special_Edition/60035695,Philip Kaufman,United States,1988,
56,The 39 Steps,true,http://www.netflix.com/Movie/The_39_Steps/209070,Alfred Hitchcock,United Kingdom,1935,
57,Charade,true,http://www.netflix.com/Movie/Charade/21634796,Stanley Donen,United States,1963,
58,Peeping Tom,true,http://www.netflix.com/Movie/Peeping_Tom/848669,Michael Powell,United Kingdom,1960,
59,The Night Porter,false,http://www.netflix.com/Movie/The_Night_Porter/21930861,Liliana Cavani,Italy,1974,
60,Autumn Sonata,false,http://www.netflix.com/Movie/Autumn_Sonata/22689306,Ingmar Bergman,Sweden,1978,
61,Monty Python’s Life of Brian,false,http://www.netflix.com/Movie/Monty_Python_s_Life_of_Brian/699257,Terry Jones,United Kingdom,1979,
62,The Passion of Joan of Arc,true,http://www.netflix.com/Movie/The_Passion_of_Joan_of_Arc/21873230,Carl Th. Dreyer,France,1928,
63,Carnival of Souls,true,http://www.netflix.com/Movie/Carnival_of_Souls/60001844,Herk Harvey,United States,1962,
64,The Third Man,true,http://www.netflix.com/Movie/The_Third_Man/1039377,Carol Reed,United Kingdom,1949,
65,Rushmore,false,http://www.netflix.com/Movie/Rushmore/17236936,Wes Anderson,United States,1998,
66,The Orphic Trilogy,false,http://www.netflix.com/Movie/Jean_Cocteau_s_Orphic_Trilogy/60037759,Jean Cocteau,France,,
67,The Blood Of A Poet,false,http://www.netflix.com/Movie/Jean_Cocteau_s_Orphic_Trilogy/60037759,Jean Cocteau,France,1930,66
68,Orpheus,false,http://www.netflix.com/Movie/Jean_Cocteau_s_Orphic_Trilogy/60037759,Jean Cocteau,France,1949,66
69,Testament of Orpheus,false,http://www.netflix.com/Movie/Jean_Cocteau_s_Orphic_Trilogy/60037759,Jean Cocteau,France,1959,66
70,The Last Temptation of Christ,true,http://www.netflix.com/Movie/The_Last_Temptation_of_Christ/28000446,Martin Scorsese,United States,1988,
71,The Magic Flute,false,http://www.netflix.com/Movie/The_Magic_Flute/727250,Ingmar Bergman,Sweden,1975,
72,Le million,false,http://www.netflix.com/Movie/Le_Million/761732,René Clair,France,1931,
