SKY,FLT,DAMAGE,REPORTED_NAME,REMAINS_COLLECTED,BIRDS_SEEN,FAAREGION,REPORTED_DATE,EFFECT_OTHER,REMAINS_SENT,WARNED,INDICATED_DAMAGE,PRECIP,AOS,LOCATION,PHASE_OF_FLT,SPECIES,TYPE_ENG,DISTANCE,ATYPE,EFFECT,HEIGHT,NR_FATALITIES,TIME_OF_DAY,STATE,BIRDS_STRUCK,AC_MASS,AC_CLASS,OPERATOR,SIZE,INCIDENT_DATE,NR_INJURIES,COST_REPAIRS_INFL_ADJ,ENROUTE,RUNWAY,AIRPORT,COMMENTS,COST_OTHER_INFL_ADJ,REMARKS,NUM_ENGS,TIME,SPEED
No Cloud,,None (Military),Deleted,FALSE,,,6/28/90,,FALSE,N,FALSE,None,,,En Route,Unknown bird - medium,Turbofan,,B-737-300,,"3,000",,Night,,1,4,Airplane,SOUTHWEST AIRLINES,Medium,6/25/90 0:00,,,,,UNKNOWN,,,no damage,2,,200
,,None (Military),Deleted,FALSE,1,ANM,5/19/00,,FALSE,,FALSE,,,,Approach,Unknown bird - medium,,,RF-4C,,200,,Day,ID,1,,Airplane,MILITARY,Medium,6/25/90 0:00,,,,,BOISE AIR TERMINAL/GOWEN FIELD,SOURCE = BASH NR xxxxx,,"REMARKS -  BOISE AIR TERMINAL;  AIRCRAFT -  RF - 4 - C;  IMPACT -  DOOR 502;  NUMBER OF BIRDS (S, F, or Z) -  S",,09:30,200
No Cloud,,None (Military),,FALSE,,ACE,,,FALSE,N,FALSE,Fog,,,Approach,Unknown bird - small,Turbofan,,MD-87,None,,,Day,NE,1,4,Airplane,UPS AIRLINES,Small,6/26/90 0:00,,,,32L,EPPLEY AIRFIELD,,,,2,,140
,,None (Military),Deleted,FALSE,,ANE,,,FALSE,,FALSE,,,,,Unknown bird - medium,Turboprop,,SAAB-340,,,,,CT,1,3,Airplane,BUSINESS EXPRESS,Medium,6/26/90 0:00,,,,,BRADLEY INTL,ENG MANU #xxxxxx,,NO ENG DAMAGE. PHASE UNKN.,2,,
,,Minor (Civilian),,FALSE,,ANM,,,FALSE,,TRUE,,,,Climb,Gulls,Reciprocating (Piston),,C-150,Precautionary Landing,,,Day,UT,1,1,Airplane,PRIVATELY OWNED,Medium,6/26/90 0:00,,,,,SOUTH VALLEY REGIONAL ARPT,SOURCE = FAA AIRCRAFT ACCIDENT/INCIDENT REPT OPER - PVT  POSSIBLY RANDALL MOON,,"ON LIFT OFF HIT A GULL, LANDED AT ARPT. VISUAL FLT RULES. WEATHER NOT A FACTOR.",1,,
No Cloud,,None (Military),,FALSE,1,AWP,6/26/90,,FALSE,Y,FALSE,None,,,Approach,Swallows,Turbofan,,B-737-300,,50,,Day,CA,1,4,Airplane,AMERICA WEST AIRLINES,Small,6/26/90 0:00,,,,,SACRAMENTO INTL,,,no damage,2,,120
No Cloud,,None (Military),Deleted,FALSE,1,ASO,6/26/90,,FALSE,N,FALSE,None,,,Landing Roll,Blackbirds,Turbofan,0,MD-80,None,0,,Day,TN,1,4,Airplane,AMERICAN AIRLINES,Small,6/26/90 0:00,,,,,NASHVILLE INTL,SOURCE = TWO xxxx-x REPTS,,no damage,2,,100
,,<$50K (Military),Deleted,FALSE,,ASW,5/19/00,,FALSE,,TRUE,,,,Take-off run,,,0,T-38A,,0,,Day,TX,1,,Airplane,MILITARY,Medium,6/26/90 0:00,,"1,227",,,LUBBOCK PRESTON SMITH INTL ARPT,SOURCE = BASH NR xxxxx,,"REMARKS -  COMPRESSOR STALL;  AIRCRAFT -  T - 38 - ;  IMPACT -  #1 ENGINE;  NUMBER OF BIRDS (S, F, or Z) -",,13:00,100
,,<$50K (Military),Deleted,FALSE,1,ASW,5/19/00,,FALSE,Y,TRUE,,,"Location inputed -  SHEPPARD AFB WICHITA FALLS MUNI, TX;  Date  -  06/26/1990;  ICAO -  KSPS;  REP ICAO -  KSPS;  MAJCOM -  AETC;  UNIT1 -  ;  UNIT2 -  ;  LL ROUTE -",Climb,,,,T-37B,,500,,Day,TX,1,,,MILITARY,Medium,6/26/90 0:00,,30,,,SHEPPARD AIR FORCE BASE/WICHITA FALLS MUNI ARPT,SOURCE = BASH NR xxxxx,,"REMARKS -  SHEET METAL DAMAGE & BROKEN PASSING LIGHT;  AIRCRAFT -  T - 37 - ;  IMPACT -  NOSE CONE;  NUMBER OF BIRDS (S, F, or Z) -  S",,19:20,160
No Cloud,,None (Military),,FALSE,2-10,AAL,,,FALSE,N,FALSE,None,,,Climb,Gulls,Reciprocating (Piston),,DHC2 BEAVER,None,150,,Day,AK,1,2,Airplane,BUSINESS,Medium,6/27/90 0:00,,,,WATERLN,LAKE HOOD STRIP ARPT,OPER = RUST'S AIR SERVICE  RE-ENTERED x/xx/xxxx,,CONTINUING AND INCREASING PROBLEM. SOMETHING NEEDS TO BE DONE  - PILOT,1,15:35,80
Overcast,,None (Military),Deleted,FALSE,,AGL,,,FALSE,N,FALSE,None,,,Take-off run,Hawks,Turbofan,0,GULFAERO IV,,0,,Day,WI,1,4,Airplane,BUSINESS,Medium,6/27/90 0:00,,,,,LAKELAND ARPT/NOBLE F. LEE MEMORIAL FIELD,OPER = AMOCO CORP,,NO DAMAGE/INJURY.,2,,78
,,None (Military),Deleted,FALSE,2-10,AGL,,,FALSE,N,FALSE,Fog,,,Landing Roll,Sparrows,Turbofan,0,B-727-200,,0,,Day,WI,2-10,4,Airplane,UNITED AIRLINES,Small,6/27/90 0:00,,,,,GENERAL MITCHELL INTL,DATE = POSTMARK,,HIT A FLOCK OF SPARROWS. NO DAMAGE. HAZY. FLT 756,3,,100
Some Cloud,,None (Military),Deleted,FALSE,,AEA,6/27/90,,FALSE,N,FALSE,None,,,Climb,Rock pigeon,Reciprocating (Piston),,PA-32,None,15,,Dusk,PA,1,1,Airplane,BUSINESS,Small,6/27/90 0:00,,,,9L,HARRISBURG INTL,OPER = JOHN PATTON,,NO DAMAGES,1,,70
No Cloud,,None (Military),Deleted,FALSE,2-10,AEA,6/28/90,,FALSE,Y,FALSE,None,,,Landing Roll,Unknown bird - medium,Turboprop,0,CV-580,,0,,Day,NJ,2-10,3,Airplane,FAA,Medium,6/27/90 0:00,,,,,ATLANTIC CITY INTL,(x/x/xx UPDATED OPER),,"NO DAMAGE. HIT A FLOCK, ASSUME 2-10.",2,,40
No Cloud,,None (Military),,FALSE,,ASO,8/7/90,,FALSE,Y,FALSE,None,,,Approach,Unknown bird - medium,Turbofan,,MD-80,,800,,Day,NC,1,4,Airplane,AMERICAN AIRLINES,Medium,6/27/90 0:00,,,,,RALEIGH-DURHAM INTL,,,no damage,2,,150
,,None (Military),Deleted,TRUE,1,AEA,5/19/00,,TRUE,,FALSE,,,,Landing Roll,Red-winged blackbird,,0,F-4D,,0,,Day,NY,1,,Airplane,MILITARY,Small,6/27/90 0:00,,,,,NIAGARA FALLS INTL,SOURCE = BASH NR xxxxx,,"REMARKS -  ;  AIRCRAFT -  F - 4 - D;  IMPACT -  LEFT SIDE #3 ENGINE;  NUMBER OF BIRDS (S, F, or Z) -  S",,16:00,90
No Cloud,,None (Military),Deleted,FALSE,1,AGL,6/28/90,,FALSE,Y,FALSE,None,,,Approach,Unknown bird - small,Turbofan,,B-727-200,,50,,Day,IL,1,4,Airplane,AMERICAN AIRLINES,Small,6/28/90 0:00,,,,,CHICAGO O'HARE INTL ARPT,DATE = POSTMARK,,no damage,3,,130
No Cloud,2590,Uncertain (Civilian),Deleted,FALSE,1,AWP,6/28/90,,FALSE,Y,TRUE,None,,,Climb,Hawks,Turbofan,,BA-146,Engine Shut Down,50,,Day,CA,1,4,Airplane,1US AIRWAYS,Medium,6/28/90 0:00,,,,16R,SACRAMENTO INTL,,,REPORTED DAMAGE . COMPRESSOR FAILURE 100% INGESTED 1 OR  MORE BIRDS.,4,,115
No Cloud,,None (Military),Deleted,FALSE,,ASW,6/29/90,,FALSE,N,FALSE,,,,Approach,Unknown bird - small,Turbofan,,B-727-100,,"11,000",,Night,TX,1,4,Airplane,AMERICAN AIRLINES,Small,6/28/90 0:00,,,,,DALLAS/FORT WORTH INTL ARPT,,,BIRD STRIKE ON LOWER LEFT CORNER OF CAPTAIN'S WINDSHIELD.  NO DAMAGE NOTED.,3,,250
Some Cloud,,,,FALSE,1,ASW,7/6/90,,FALSE,N,FALSE,None,,,Climb,Unknown bird - small,Turbofan,,B-737-300,,50,,,TX,1,4,Airplane,SOUTHWEST AIRLINES,Small,6/28/90 0:00,,,,,WILLIAM P HOBBY ARPT,,,DOVE OR SIMILAR. UNKN IF DAMAGE.,2,,160
Some Cloud,,None (Military),,FALSE,1,ASO,7/2/90,,FALSE,N,FALSE,None,,,Take-off run,Unknown bird - small,Turbofan,0,FOKKER F28 MK 4000,None,0,,Day,FL,1,4,Airplane,1US AIRWAYS,Small,6/29/90 0:00,,,,36L,TAMPA INTL,,,"# BIRDS STRUCK NOT REPTD, ASSUME 1, SAME AS # SEEN. FLT 844.",2,,
Some Cloud,,None (Military),Deleted,FALSE,2-10,AEA,7/3/90,,FALSE,N,FALSE,None,,,Climb,Hawks,Reciprocating (Piston),,MOONEY-20B/C,Precautionary Landing,500,,Day,WV,1,1,Airplane,PRIVATELY OWNED,Medium,6/29/90 0:00,,,,22,GREENBRIER VALLEY ARPT,OPER = FRANK BUCKLAND JR (x/xx/xx UPDATED OPER CODE),,VERY HAZY,1,,
No Cloud,,None (Military),Deleted,FALSE,1,AEA,7/3/90,,FALSE,N,FALSE,None,,,Climb,Gulls,Turbofan,,B-767,,50,,Day,NY,1,4,Airplane,AMERICAN AIRLINES,Medium,6/29/90 0:00,,,,,JOHN F KENNEDY INTL,,,no damage,2,,140
Some Cloud,,Minor (Civilian),Deleted,FALSE,,AAL,7/11/90,,FALSE,Y,TRUE,None,,,Take-off run,Unknown bird - small,Reciprocating (Piston),0,PA-31 NAVAJO,,0,,Day,AK,1,2,Airplane,PENAIR,Small,6/29/90 0:00,,,,,KING SALMON,,,LOST WINDSHIELD WIPER.,2,,
No Cloud,,None (Military),Deleted,FALSE,1,AWP,7/2/90,,FALSE,N,FALSE,None,,,Approach,Owls,Turbofan,,MD-82,,10,,Night,CA,1,4,Airplane,AMERICAN AIRLINES,Medium,6/30/90 0:00,,,,,SACRAMENTO INTL,,,no damage,2,,120
,,None (Military),Deleted,FALSE,1,AGL,7/2/90,,FALSE,N,FALSE,,,,Landing Roll,Unknown bird - small,Turbofan,0,MD-80,,0,,Day,IL,1,4,Airplane,AMERICAN AIRLINES,Small,6/30/90 0:00,,,,,CHICAGO O'HARE INTL ARPT,,,3 MILES & HAZE. NO DAMAGE.,2,,145
Some Cloud,,None (Military),,FALSE,2-10,ASO,7/5/90,,FALSE,N,FALSE,Rain,,,Take-off run,Mourning dove,Turbojet,0,HAWKER-SDLY HS125,,0,,Day,GA,2-10,3,Airplane,UNKNOWN,Small,6/30/90 0:00,,,,,DEKALB-PEACHTREE ARPT,OPER = JOHN HARLAND,,HIT A FLOCK (ASSUME 2-10). NO DAMAGE.,2,,110
,,Substantial (Civilian),,FALSE,,,,,FALSE,,TRUE,,,,,Unknown bird - medium,Turbofan,,B-757-200,,,,,,1,4,Airplane,DELTA AIR LINES,Medium,7/1/90 0:00,,,,,UNKNOWN,SOURCE = FAA TECH CENTER BIRD INGESTION REPT & ENG MANU (UPDATED x/x/xx WITH ENG MANU REPT),,"2 FAN BLADES BROKEN, 2 SETS REPLACED. SIGNIFICANT DAMAGE. EVENT  #486.",2,,
Some Cloud,,None (Military),Deleted,FALSE,,AEA,7/1/90,,FALSE,N,FALSE,None,,,Landing Roll,Gulls,Turbofan,0,HAWKER 1000,,0,,Day,NJ,1,3,Airplane,BUSINESS,Medium,7/1/90 0:00,,,,,TETERBORO AIRPORT,OPER = RAYTHEON,,no damage,2,,
No Cloud,,None (Military),Deleted,FALSE,1,AAL,7/2/90,,FALSE,,FALSE,None,,,Take-off run,Gulls,Turbofan,0,B-727,None,0,,Day,AK,1,4,Airplane,ALASKA AIRLINES,Medium,7/1/90 0:00,,,,19R,FAIRBANKS INTL ARPT,,,"NO DAMAGE/INJURIES. FLT 92. # BIRDS STRUCK NOT REPTD, ASSUME 1,  SAME AS # SEEN.",3,,140
Some Cloud,,None (Military),,FALSE,,AEA,7/5/90,,FALSE,N,FALSE,None,,,Take-off run,Unknown bird - small,Turboprop,0,FOKKER F27,,0,,Day,PA,1,3,Airplane,ALLEGHENY AIRLINES,Small,7/1/90 0:00,,,,,LANCASTER ARPT (PA),(x/xx/xx UPDATED A/C),,no damage,2,,130
No Cloud,,None (Military),Deleted,FALSE,,ASW,7/5/90,,FALSE,Y,FALSE,None,,,Approach,Unknown bird - small,Turbofan,,MD-80,,50,,Day,TX,1,4,Airplane,AMERICAN AIRLINES,Small,7/1/90 0:00,,,,,DALLAS/FORT WORTH INTL ARPT,,,no damage,2,,140
No Cloud,,None (Military),Deleted,FALSE,1,AEA,7/2/90,,FALSE,N,FALSE,None,,,Landing Roll,Gulls,Turboprop,0,BE-200 KING,,0,,,DC,1,2,Airplane,BUSINESS,Medium,7/2/90 0:00,,,,,RONALD REAGAN WASHINGTON NATIONAL ARPT,DATE = POSTMARK  OPER = HRB SYSTEMS,,no damage,2,,120
No Cloud,,None (Military),Deleted,FALSE,,ASW,7/2/90,,FALSE,Y,FALSE,,,,Approach,Unknown bird - small,Turbofan,,DC-9,,50,,Night,AR,2-10,4,Airplane,NORTHWEST AIRLINES,Small,7/2/90 0:00,,,,,BILL AND  HILLARY CLINTON NATL ARPT/ADAMS FIELD,,,"HIT A FLOCK, ASSUME 2-10. NO DAMAGE. FLT 1523.",2,,130
Overcast,,None (Military),Deleted,FALSE,,ASO,7/3/90,,FALSE,N,FALSE,None,,,Landing Roll,Unknown bird - small,Reciprocating (Piston),0,BE-55  BARON,,0,,Night,MS,1,2,Airplane,BUSINESS,Small,7/2/90 0:00,,,,,JACKSON EVERS INTL,OPER = FLIGHT LINE INC,,no damage,2,,80
No Cloud,,None (Military),,FALSE,,ASO,7/5/90,,FALSE,N,FALSE,None,,,Approach,Unknown bird - medium,Turbofan,,B-727,,"4,000",,Night,TN,1,4,Airplane,AMERICAN AIRLINES,Medium,7/2/90 0:00,,,,,LOVELL FIELD ARPT,,,"BIRD HIT ABOVE F/O'S #1 WINDOW, NO DAMAGE.",3,,210
,,None (Military),Deleted,FALSE,,AWP,7/13/90,,FALSE,N,FALSE,,,,Take-off run,Unknown bird - medium,Reciprocating (Piston),0,PA-32,,0,,,CA,1,1,Airplane,BUSINESS,Medium,7/2/90 0:00,,,,,BOB HOPE ARPT,OPER = WINGS EXPRESS,,NO DAMAGE. WEATHER -X5H FLT 370,1,,40
,,None (Military),Deleted,TRUE,2-10,ANM,5/19/00,,TRUE,,FALSE,,,,Climb,Rock pigeon,,,RF-4C,,75,,Day,ID,2-10,,Airplane,MILITARY,Small,7/2/90 0:00,,,,,BOISE AIR TERMINAL/GOWEN FIELD,SOURCE = BASH NR xxxxx (x/xx/xx UPDATED BIRD CODE),,"REMARKS -  ;  AIRCRAFT -  RF - 4 - C;  IMPACT -  RADOME/NOSE GEAR DOR;  NUMBER OF BIRDS (S, F, or Z) -  F",,14:00,200
No Cloud,3965,None (Military),Deleted,FALSE,1,AEA,,,FALSE,Y,FALSE,None,,,Landing Roll,Gulls,Turboprop,0,BA-41 JETSTR,,0,,Day,NJ,1,3,Airplane,PSA AIRLINES,Medium,7/3/90 0:00,,,,,ATLANTIC CITY INTL,x/x/xx UPDATED ENG AND A/C TYPES,,ATIS WARNING. NO DAMAGE.,2,,
Some Cloud,,None (Military),,FALSE,1,AEA,7/3/90,,FALSE,N,FALSE,None,,,Landing Roll,Wrens,Turbofan,0,B-727-200,None,0,,,NY,1,4,Airplane,AMERICAN AIRLINES,Small,7/3/90 0:00,,,,,STEWART INTL AIRPORT,DATE = POSTMARK,,no damage,3,,100
,,None (Military),Deleted,FALSE,,,7/3/90,,FALSE,,FALSE,,,FOUND AT KMCO,,Unknown bird - small,Turbofan,,MD-80,,,,,,1,4,Airplane,AMERICAN AIRLINES,Small,7/3/90 0:00,,,,,UNKNOWN,DATE = POSTMARK,,"BIRD STRIKE REMAINS FOUND LEFT LOWER FLAP DURING PREFLT INSPN. #  BIRDS STRUCK NOT REPTD, ASSUME 1.",2,,
No Cloud,,,Deleted,FALSE,1,ANE,7/3/90,,FALSE,Y,FALSE,None,,,Approach,Unknown bird - large,Turbofan,,DC-8,,20,,Day,MA,1,4,Airplane,UPS AIRLINES,Large,7/3/90 0:00,,,,,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,,,UNKN IF ANY DAMAGE. WARNING ON ATIS. REMAINS NOT FOUND.,4,,
No Cloud,,Substantial (Civilian),Deleted,FALSE,1,,7/3/90,,FALSE,Y,TRUE,,,CEDAR CITY UT,En Route,Unknown bird - medium,Reciprocating (Piston) / Turboprop,,MOONEY UNKN,,"9,000",,Day,,1,1,Airplane,PRIVATELY OWNED,Medium,7/3/90 0:00,1,,UT,,UNKNOWN,OPER = HARRY A MOYER SOURCE = xxxx-x & FAA AIRCRAFT ACCIDENT/INCIDENT (UPDATED N# x/x/xx),,WINDSCREEN BROKEN-INTERIOR MESSY. LEFT BICEP CUT BY BROKEN  PLASTIC.,1,,140
No Cloud,,None (Military),,FALSE,,ASW,7/5/90,,FALSE,N,FALSE,None,,,Approach,Unknown bird - small,Turbofan,,B-727-200,,250,,Day,TX,1,4,Airplane,AMERICAN AIRLINES,Small,7/3/90 0:00,,,,,GEORGE BUSH INTERCONTINENTAL/ HOUSTON ARPT,,,NO DAMAGE.,3,,140
No Cloud,,None (Military),Deleted,FALSE,1,AWP,7/5/90,,FALSE,N,FALSE,None,,,Approach,Unknown bird - medium,Turbofan,,DC-10-10,,400,,Night,HI,1,4,Airplane,AMERICAN AIRLINES,Medium,7/3/90 0:00,,,,,HONOLULU INTL ARPT,,,"NO DAMAGE. BIRD REPTD AS GULL, NOT LIKELY IN HI.",3,,137
,,None (Military),Deleted,FALSE,2-10,AEA,8/20/90,ALTERED DEPTR PATH,FALSE,N,FALSE,,,,Take-off run,Gulls,Turbofan,0,B-747-1/200,Other,0,,Day,NY,1,5,Airplane,UNITED AIRLINES,Medium,7/3/90 0:00,,,,31L,JOHN F KENNEDY INTL,,,10 BIRDS FLEW UP OFF RWY & SURROUNDING TERRAIN.  STRUCK 1 ON  COPILOT'S WINDSHIELD. BLOOD & A FEATHER BUT NO DAMAGE.  FLEW  STRAIGHT AHEAD FOR SEVERAL MINUTES TO BE CERTAIN THAT WE HAD  NORMAL ENGS THEN MADE LEFT TURN & CONTD STD DEPTR. SCARED ----  OUT OF CAPT.,4,,120
No Cloud,,None (Military),Deleted,FALSE,1,AGL,7/4/90,,FALSE,N,FALSE,None,,,Landing Roll,Owls,Turbofan,0,B-727-100,None,0,,Night,IN,1,4,Airplane,FEDEX EXPRESS,Medium,7/4/90 0:00,,,,5R,INDIANAPOLIS INTL,,,,3,,110
No Cloud,,None (Military),Deleted,FALSE,1,ASO,7/9/90,,FALSE,N,FALSE,None,,,Landing Roll,Mourning dove,Turbofan,0,FOKKER F28 MK 1000,,0,,Day,NC,1,4,Airplane,1US AIRWAYS,Small,7/4/90 0:00,,,,,PIEDMONT TRIAD INTL,,,"NO DAMAGE. FLT 1704. REPTD AS DOVE, ASSUME MOURNING.",2,,
,,Minor (Civilian),,FALSE,,,,,FALSE,,TRUE,,,FOUND AT KOKC,,Unknown bird - medium,Turbofan,,B-757-200,,,,,,1,4,Airplane,UNKNOWN COMMERCIAL,Medium,7/5/90 0:00,,,,,UNKNOWN,SOURCE = FAA TECH CENTER BIRD INGESTION REPT (x/xx/xx UPDATED OPER),,2 FAN BLADES DAMAGED. EVENT # 337.,2,,
No Cloud,,None (Military),Deleted,FALSE,11-100,ASO,7/5/90,,FALSE,Y,FALSE,None,,,Approach,Unknown bird - small,Turbofan,,MD-80,None,100,,Day,NC,2-10,4,Airplane,1US AIRWAYS,Small,7/5/90 0:00,,,,23,CHARLOTTE/DOUGLAS INTL ARPT,,,NO DAMAGE. FLT 851.,2,,125
No Cloud,,None (Military),Deleted,FALSE,,ASO,7/6/90,,FALSE,N,FALSE,None,,,Landing Roll,Unknown bird - medium,Turbofan,0,LEARJET-35,,0,,,GA,1,3,Airplane,BUSINESS,Medium,7/5/90 0:00,,,,,AUGUSTA REGIONAL ARPT AT BUSH FLD,OPER = PHOENIX AIR GROUP,,no damage,2,,130
No Cloud,,None (Military),Deleted,FALSE,,AGL,7/11/90,,FALSE,Y,FALSE,None,,,Approach,Unknown bird - small,Turbofan,,DC-9-30,,380,,Day,IL,1,4,Airplane,MIDWAY AIRLINES,Small,7/5/90 0:00,,,,,CHICAGO MIDWAY INTL ARPT,,,NO DAMAGE.,2,,130
No Cloud,,None (Military),,FALSE,1,ASO,,,FALSE,N,FALSE,None,,,Climb,Blackbirds,Reciprocating (Piston),,C-150,None,300,,Day,KY,1,1,Airplane,BUSINESS,Small,7/6/90 0:00,,,,22,BARKLEY REGIONAL ARPT,OPER = FLIGHTECH   DATE = POSTMARK,,NO DAMAGE.,1,,70
Some Cloud,,None (Military),,FALSE,1,ASW,,,FALSE,Y,FALSE,None,,,Approach,Doves,Turbofan,,MD-82,,20,,Day,LA,1,4,Airplane,AMERICAN AIRLINES,Small,7/6/90 0:00,,,,,LOUIE ARMSTRONG NEW ORLEANS INTL ARPT,DATE = POSTMARK,,no damage,2,,120
,,,,TRUE,,AWP,,,FALSE,,FALSE,,,,,Ring-necked pheasant,,0,UNKNOWN,,,,,HI,1,,,UNKNOWN,Medium,7/6/90 0:00,,,,,LIHUE ARPT,,,,,,
No Cloud,,None (Military),,FALSE,,ASO,7/6/90,,FALSE,Y,FALSE,None,,,Take-off run,Gulls,Turbofan,0,B-727,,0,,Day,FL,1,4,Airplane,AMERICAN AIRLINES,Medium,7/6/90 0:00,,,,,TAMPA INTL,,,NO DAMAGE. FLT 1032.,3,,
No Cloud,,None (Military),Deleted,FALSE,,ASO,7/7/90,,FALSE,N,FALSE,None,,,Take-off run,Unknown bird - medium,Turbofan,0,MD-80,,0,,Day,SC,1,4,Airplane,AMERICAN AIRLINES,Medium,7/6/90 0:00,,,,,CHARLESTON AFB/INTL ARPT,,,HIT BIRD AT INTSN OF 3/33. NO DAMAGE.,2,,100
No Cloud,,None (Military),,FALSE,,ANM,7/9/90,,FALSE,N,FALSE,None,,,Approach,European starling,Reciprocating (Piston),,AERONCA 7,,50,,,OR,1,1,Airplane,PRIVATELY OWNED,Small,7/6/90 0:00,,,,,ROGUE VALLEY INTL - MEDFORD ARPT,,,NO DAMAGE.,1,,60
Some Cloud,,None (Military),,FALSE,,ANM,7/9/90,,FALSE,N,FALSE,None,,,Approach,Rock pigeon,Reciprocating (Piston),,C-340,,500,,,OR,2-10,2,Airplane,BUSINESS,Small,7/6/90 0:00,,,,,ROGUE VALLEY INTL - MEDFORD ARPT,OPER = PACIFIC FLIGHTS,,HIT 3. NO DAMAGE.,2,,100
No Cloud,,None (Military),Deleted,FALSE,2-10,ASO,7/9/90,,FALSE,N,FALSE,None,,,Approach,Blackbirds,Turbofan,,B-757-200,,100,,Day,KY,2-10,4,Airplane,DELTA AIR LINES,Small,7/6/90 0:00,,,,,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,,,"HIT A FLOCK, ASSUME 2-10 BIRDS.",2,,150
Some Cloud,,None (Military),Deleted,FALSE,1,AWP,7/9/90,,FALSE,Y,FALSE,None,,,Approach,Unknown bird - small,Turbofan,,B-737-200,,20,,Day,CA,1,4,Airplane,UNITED AIRLINES,Small,7/6/90 0:00,,,,,SACRAMENTO INTL,,,SML WHITE BIRD. NO DAMAGE.,2,,125
No Cloud,,None (Military),Deleted,FALSE,1,ASW,7/13/90,,FALSE,Y,FALSE,None,,,Climb,Gulls,Turbofan,,MD-80,,"2,000",,Day,TX,1,4,Airplane,AMERICAN AIRLINES,Medium,7/6/90 0:00,,,,,DALLAS/FORT WORTH INTL ARPT,,,NO DAMAGE.,2,,250
,,None (Military),Deleted,FALSE,1,ASW,5/19/00,,FALSE,,FALSE,,,,Take-off run,,,0,T-37B,,0,,Day,TX,1,,,MILITARY,Medium,7/6/90 0:00,,,,,LUBBOCK PRESTON SMITH INTL ARPT,SOURCE = BASH NR xxxxx,,"REMARKS -  ;  AIRCRAFT -  T - 37 - B;  IMPACT -  SPEED BRAKE;  NUMBER OF BIRDS (S, F, or Z) -  S",,18:15,100
,,None (Military),Deleted,FALSE,1,AWP,5/19/00,,FALSE,,FALSE,,,,Approach,Unknown bird - medium,,,KC-135R,,100,,Day,CA,1,,Airplane,MILITARY,Medium,7/6/90 0:00,,,,,CASTLE ARPT,SOURCE = BASH NR xxxxx,,"REMARKS -  ;  AIRCRAFT -  KC - 135 - R;  IMPACT -  BELLY;  NUMBER OF BIRDS (S, F, or Z) -  S",,18:15,140
No Cloud,,None (Military),Deleted,FALSE,,,,,FALSE,N,FALSE,None,,"DILLON, SC",En Route,Unknown bird - small,Reciprocating (Piston),,PA-23 APACHE,,"6,000",,Day,,1,1,Airplane,UNKNOWN,Small,7/7/90 0:00,,,SC,,UNKNOWN,OPER = J CASSAR,,HAZE. NO DAMAGE.,2,,140
Some Cloud,,None (Military),Deleted,FALSE,,ASO,7/7/90,,FALSE,N,FALSE,,,,Climb,Unknown bird - medium,Turbofan,,B-727,,300,,Day,GA,1,4,Airplane,DELTA AIR LINES,Medium,7/7/90 0:00,,,,,AUGUSTA REGIONAL ARPT AT BUSH FLD,,,NO DAMAGE. FLT 9981.,3,,150
Some Cloud,,None (Military),Deleted,FALSE,,AEA,7/7/90,,FALSE,N,FALSE,None,,,Approach,Blackbirds,Turbofan,,FOKKER F28 MK 4000,None,100,,Day,VA,1,4,Airplane,1US AIRWAYS,Small,7/7/90 0:00,,,,33,ROANOKE REGNL ARPT/WOODRUM FIELD,,,THOUGHT IT WAS A SMALL BLACK BIRD OR STARLING. FLT 1851.,2,,132
Some Cloud,,None (Military),Deleted,FALSE,,ASO,7/9/90,,FALSE,Y,FALSE,None,,,Take-off run,Unknown bird - small,Turbofan,0,B-737,,0,,Day,KY,1,4,Airplane,UNITED AIRLINES,Small,7/7/90 0:00,,,,,LOUISVILLE INTL ARPT-STANDIFORD FIELD,,,NO DAMAGE. FLT 869.,2,,140
No Cloud,,Minor (Civilian),Deleted,FALSE,1,AEA,7/9/90,,FALSE,,TRUE,None,,,Approach,Blackbirds,Turboprop,,MERLIN IV,Precautionary Landing,500,,Day,PA,2-10,2,Airplane,MESABA AIRLINES,Small,7/7/90 0:00,,,,6,ERIE INTL ARPT-TOM RIDGE FIELD,SOURCE = TWO xxxx-x REPTS,,"INFO RE THIS STRIKE CAME AVAILABLE TO ERIE ATCT ON 07-09-90 THRU  ARPT MGR.  PILOT DID NOT REPORT IT TO THE TWR. ENG REMOVED FOR  INSPN. REPORTS DIFFER ON # AND SIZE OF BIRD(S), EFFECT ON FLIGHT.",2,,140
No Cloud,,None (Military),,FALSE,2-10,ANM,7/10/90,,FALSE,N,FALSE,None,,,Climb,Ducks,Turbofan,,B-727,Precautionary Landing,500,,Night,UT,2-10,4,Airplane,DELTA AIR LINES,Medium,7/7/90 0:00,,,,34L,SALT LAKE CITY INTL,,,"PILOT SAW WHAT APPEARED TO BE 3 DUCKS DURING TAKEOFF,  BELIEVED SOME HIT AI/C.  RETD TO SLC, NO DAMAGE FOUND,  BUT EVIDENCE OF STRIKES WERE FOUND ON FUSELAGE AND LEFT WING.",3,,155
